Date,Time,Transaction Type,Status,Chain,Buy Amount,Buy Currency,Buy Currency Address,Buy Fiat Amount,Buy Fiat Currency,Sell Amount,Sell Currency,Sell Currency Address,Sell Fiat Amount,Sell Fiat Currency,Fee Amount,Fee Currency,Fee Fiat Amount,Fee Fiat Currency,Tx Hash,Link,Timestamp,Incoming Transfers JSON,Outgoing Transfers JSON
01/09/2021,21:30,send,Confirmed,ethereum,"","","","","","0.09836871946511531","ETH","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","126.915321853891772962","USD",0.001743,ETH,2.2488186,USD,0x1854f590a1e85bceaf6ac7cbfa56ea5533d480a2c2eeec2a7cef2cf4b3fb1635,https://etherscan.io/tx/0x1854f590a1e85bceaf6ac7cbfa56ea5533d480a2c2eeec2a7cef2cf4b3fb1635,2021-01-10T00:30:14.000Z,"[]","[{""asset"":{""fungible"":{""id"":""eth"",""asset_code"":""eth"",""name"":""Ethereum"",""symbol"":""ETH"",""decimals"":18,""implementations"":{""ethereum"":{""address"":null,""decimals"":18},""optimism"":{""address"":null,""decimals"":18},""loopring"":{""address"":""0x0000000000000000000000000000000000000000"",""decimals"":18},""aurora"":{""address"":null,""decimals"":18},""arbitrum"":{""address"":null,""decimals"":18}},""type"":"""",""icon_url"":""https://token-icons.s3.amazonaws.com/eth.png"",""price"":{""value"":1263.0499999999097,""relative_change_24h"":-0.5268795186422399,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":98368719465115310,""price"":1290.2,""recipient"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]"
01/09/2021,21:28,execute,Confirmed,ethereum,"","","","","","","","","","",0.00191280003488469,ETH,2.467894605008227038,USD,0xb62b80b37bddf32bfca7501d646ac2e16c7140a007d2ecfa61e94c3301cddbe1,https://etherscan.io/tx/0xb62b80b37bddf32bfca7501d646ac2e16c7140a007d2ecfa61e94c3301cddbe1,2021-01-10T00:28:57.000Z,"[]","[]"
01/09/2021,21:26,execute,Confirmed,ethereum,"","","","","","","","","","",0.006067308,ETH,7.83841587828,USD,0x2102a2c6ee42963915f5359ed082d941e1dcfcb054e7e643e69e99d0242f1541,https://etherscan.io/tx/0x2102a2c6ee42963915f5359ed082d941e1dcfcb054e7e643e69e99d0242f1541,2021-01-10T00:26:46.000Z,"[]","[]"
01/09/2021,18:08,execute,Confirmed,ethereum,"","","","","","","","","","",0.0064023036,ETH,8.166074218764,USD,0xf5fea54a08c3c9d0fb9c152dd8fd68800446e890128f7d8b671eb975822ae8c2,https://etherscan.io/tx/0xf5fea54a08c3c9d0fb9c152dd8fd68800446e890128f7d8b671eb975822ae8c2,2021-01-09T21:08:31.000Z,"[]","[]"
01/09/2021,18:08,execute,Failed,ethereum,"","","","","","","","","","",0.0034099373,ETH,4.349340926777,USD,0xd093e0a9c6f87905292c90cb227d0873a18c752a9f756926bb1c3117914856d5,https://etherscan.io/tx/0xd093e0a9c6f87905292c90cb227d0873a18c752a9f756926bb1c3117914856d5,2021-01-09T21:08:31.000Z,"[]","[]"
01/09/2021,18:08,execute,Confirmed,ethereum,"","","","","","","","","","",0.0064023036,ETH,8.166074218764,USD,0x5f6597e3963f905791649f45c17c0b59b2e9169fdd0655e66a5f5bc3024bea61,https://etherscan.io/tx/0x5f6597e3963f905791649f45c17c0b59b2e9169fdd0655e66a5f5bc3024bea61,2021-01-09T21:08:31.000Z,"[]","[]"
01/09/2021,18:08,execute,Confirmed,ethereum,"","","","","","","","","","",0.007025304,ETH,8.96070499896,USD,0x290b9962976d94082e5c89dbf0766421aa022c1d47bf62adf7c65f86f602b55b,https://etherscan.io/tx/0x290b9962976d94082e5c89dbf0766421aa022c1d47bf62adf7c65f86f602b55b,2021-01-09T21:08:31.000Z,"[]","[]"
01/09/2021,18:08,execute,Confirmed,ethereum,"","","","","","","","","","",0.007025304,ETH,8.96070499896,USD,0x4a6f82e5fd71ea95af996b3427c84d15714f8b3547e8c0b08200d756a2c7173b,https://etherscan.io/tx/0x4a6f82e5fd71ea95af996b3427c84d15714f8b3547e8c0b08200d756a2c7173b,2021-01-09T21:08:25.000Z,"[]","[]"
01/09/2021,18:08,execute,Confirmed,ethereum,"","","","","","","","","","",0.006651744,ETH,8.48423295456,USD,0xe6247944b4ad363bdfe8afd062460907a29a4a23a4d5e3c78ff9c524ea412237,https://etherscan.io/tx/0xe6247944b4ad363bdfe8afd062460907a29a4a23a4d5e3c78ff9c524ea412237,2021-01-09T21:08:14.000Z,"[]","[]"
01/09/2021,18:08,execute,Confirmed,ethereum,"","","","","","","","","","",0.007025304,ETH,8.96070499896,USD,0x9b30f5db28a2f9e10f04b103c2752b26057c66fd6da22b6778a9b1833a64e549,https://etherscan.io/tx/0x9b30f5db28a2f9e10f04b103c2752b26057c66fd6da22b6778a9b1833a64e549,2021-01-09T21:08:14.000Z,"[]","[]"
